STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,ADJUSTMENT,Adjustment,SECTOR,Institutional sector,ACCOUNTING_ENTRY,Accounting entry,TRANSACTION,Transaction,INSTR_ASSET,Instruments and assets,PRICE_BASE,Price base,TRANSFORMATION,Transformation,REF_YEAR_PRICE,Price reference year,BASE_PER,Base period,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2009-Q3,,106.43,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2009-Q4,,107.21,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2010-Q1,,107.91,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2010-Q2,,108.01,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2010-Q3,,110.01,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2010-Q4,,112.53,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2011-Q1,,113.26,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2011-Q2,,112.94,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2011-Q3,,113.57,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2011-Q4,,114.58,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2012-Q1,,113.22,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2012-Q2,,114.04,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2012-Q3,,111.17,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2012-Q4,,112.16,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2013-Q1,,112.99,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2013-Q2,,112.77,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2013-Q3,,112.85,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2013-Q4,,113.96,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2014-Q1,,114.3,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2014-Q2,,115.5,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2014-Q3,,115.7,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2014-Q4,,116.34,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2015-Q1,,116.01,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2015-Q2,,116.72,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2015-Q3,,116.57,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2015-Q4,,115.12,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2016-Q1,,115.47,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2016-Q2,,116.07,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2016-Q3,,116.18,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2016-Q4,,116.07,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2017-Q1,,116.19,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2017-Q2,,115.75,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2017-Q3,,115.87,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2017-Q4,,117.11,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2018-Q1,,117.06,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2018-Q2,,117.43,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2018-Q3,,117.35,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2018-Q4,,117.99,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
